name,selling_price
Hyundai Xcent 1.1 CRDi SX Option,480000
Hyundai i20 1.2 Asta Option,650000
Hyundai i20 1.4 CRDi Magna,290000
Maruti Alto 800 LXI,300000
Maruti Swift Dzire VDi,270000
Hyundai Xcent 1.1 CRDi S,400000
Maruti Alto 800 LX,280000
Maruti Swift Dzire VXi,250000
Maruti Swift Dzire VDi,495000
Ford Endeavour 3.2 Titanium AT 4X4,3250000
Honda Amaze V Petrol BSIV,700000
Tata Indigo eCS VX BSIV,310000
Renault Duster 85PS Diesel RxE,650000
Honda Jazz 1.2 V AT i VTEC,600000
Tata New Safari DICOR 2.2 EX 4x2,150000
Mahindra Renault Logan 1.4 GLX Petrol,135000
Maruti Swift Dzire VDI,650000
Honda City V MT,550000
Maruti Swift Dzire VDI,650000
Toyota Fortuner 2.8 2WD AT BSIV,2900000
Honda Brio 1.2 VX MT,450000
Maruti Ciaz VXi Plus,650000
Hyundai Grand i10 1.2 Kappa Era,430000
Hyundai Creta 1.6 CRDi AT S Plus,1143000
Maruti Swift AMT ZXI Plus BSIV,700000
Maruti Ritz VXi,229999
Mahindra TUV 300 T4,509999
Ford EcoSport 1.5 Ti VCT MT Trend BSIV,670000
Tata Tiago 1.2 Revotron XZA,525000
Renault Duster 85PS Diesel RxE,515000
Maruti Baleno Delta,630000
Datsun RediGO A,270000
Maruti Alto 800 LXI,300000
Mahindra Xylo D2 BSIV,250000
Maruti Alto LX,90000
Maruti Ertiga SHVS ZDI Plus,750000
Maruti Wagon R LXI Minor,135000
Maruti Eeco Smiles 5 Seater AC,275000
Tata Nexon 1.2 Revotron XM,740000
Honda Amaze S i-VTEC,690000
Audi Q5 35TDI Premium Plus,3975000
Lexus ES 300h,5150000
Jaguar XF 2.0 Diesel Portfolio,3200000
Jeep Wrangler 2016-2019 3.6 4X4,4100000
Toyota Yaris V BSIV,1000000
Toyota Yaris V BSIV,1000000
Hyundai Grand i10 Nios Sportz,550000
Maruti Baleno Alpha,600000
Skoda Rapid 1.6 MPI AT Style Plus,675000
Nissan Kicks XV BSIV,950000
Honda City i VTEC V,850000
Toyota Camry 2.5 Hybrid,2000000
Toyota Corolla Altis 1.8 VL AT,550000
Maruti Ciaz 1.3 Alpha,925000
Ford Ecosport 1.5 Ti VCT AT Titanium,625000
Maruti Alto 800 LXI,200000
Honda City i VTEC CVT VX,635000
Honda Jazz VX,550000
Maruti SX4 VDI,425000
Maruti Wagon R VXI BS IV,220000
Hyundai Grand i10 1.2 Kappa Asta,590000
Mahindra Thar CRDe,775000
Maruti Ritz VXi,350000
Maruti Baleno Delta 1.2,575000
Nissan Micra XL,200000
Tata Hexa XT,1575000
Ford EcoSport 1.5 TDCi Titanium BSIV,600000
Mahindra Bolero 2011-2019 ZLX BSIII,720000
Tata Indigo eCS LS TDI BSIII,158000
Tata Hexa XT,1575000
Hyundai Xcent 1.2 VTVT S AT,580000
Mahindra Bolero 2011-2019 SLX,420000
Mahindra Marazzo M6 8Str,1200000
Renault KWID 1.0 RXT Optional,350000
Honda City i VTEC VX,650000
Maruti Wagon R VXI BS IV,400000
Tata Nexon 1.5 Revotorq XM,700000
Hyundai Xcent 1.2 Kappa SX,520000
Mahindra Scorpio LX BSIV,450000
Tata Safari Storme EX,850000
Renault KWID RXT,350000
Mahindra Xylo D2,450000
Hyundai i10 Era,165000
Hyundai Santro Xing GLS,160000
Tata New Safari DICOR 2.2 EX 4x4,300000
Mahindra Scorpio VLX 2WD BSIV,550000
Maruti Alto K10 VXI,285000
Hyundai Creta 1.6 CRDi SX,850000
Ford Freestyle Titanium Petrol BSIV,700000
Maruti Ertiga ZXI Plus Petrol,900000
Maruti Alto LXi BSIII,180000
Hyundai EON D Lite Plus Option,220000
Tata Indica Vista Quadrajet LS,120000
Hyundai i20 Asta Optional With Sunroof 1.2,220000
Chevrolet Sail Hatchback LS ABS,420000
Tata Indica Vista TDI LS,160000
Hyundai EON Era Plus,250000
Maruti Ertiga ZDI,385000
Maruti Wagon R VXI BS IV with ABS,318000
Hyundai Xcent 1.2 VTVT S,480000
Maruti Celerio VXI,330000
Tata Indica Vista Aqua 1.4 TDI,152000
Maruti Alto 800 LXI,250000
Tata Indica Vista Aqua 1.4 TDI,248000
Nissan Micra XV,300000
Hyundai i20 1.2 Spotz,550000
Hyundai i20 Sportz 1.4 CRDi,650000
Hyundai Grand i10 Magna,445000
Toyota Innova 2.5 V Diesel 7-seater,450000
Mahindra NuvoSport N8,600000
Renault Duster Adventure Edition,495000
Maruti SX4 ZXI AT,220000
Maruti SX4 ZXI AT,260000
Hyundai Santro Xing GLS,150000
Ford Figo Diesel Titanium,200000
Mahindra Scorpio S11 BSIV,1465000
Toyota Etios Liva GD,285000
Honda Civic Hybrid,250000
Mahindra Xylo D4,310000
Mahindra Scorpio VLX 4WD AIRBAG AT BSIV,600000
Maruti Baleno Delta 1.2,560000
Maruti Swift Dzire VXI,500000
Hyundai Grand i10 CRDi Asta Option,270000
Hyundai Verna 1.6 SX,420000
Maruti Swift Dzire LXI,434999
Hyundai Xcent 1.2 Kappa AT S Option,400000
Maruti Swift Dzire VDI,470000
Nissan Terrano XL 85 PS,480000
Hyundai Santro Xing GL,105000
Tata Tiago 1.05 Revotorq XE,325000
Toyota Etios Liva GD,280000
Hyundai Grand i10 Nios AMT Sportz,675000
Hyundai i10 Sportz Option,170000
Hyundai Creta 1.6 CRDi SX Option,1250000
Honda Accord 2.4 M/T,600000
Honda City i DTEC VX,819999
Hyundai i20 2015-2017 Asta Option 1.2,650000
Maruti Wagon R LXI DUO BSIII,105000
Mahindra Renault Logan 1.5 Diesel DLSX,200000
Tata Indigo CS LX (TDI) BS III,200000
Maruti Omni E MPI STD BS IV,220000
Volkswagen Vento 1.6 Highline,500000
Mahindra Renault Logan 1.5 DLX Diesel,175000
Tata Tiago 1.2 Revotron XZ,450000
Chevrolet Optra Magnum 2.0 LT,210000
Maruti Ritz VDi,270000
Tata Indica V2 DLS TC,110000
Maruti Swift Dzire VDI,480000
Maruti Swift Dzire AMT ZDI,650000
Maruti Swift Dzire VDI,480000
Hyundai i20 Asta Option 1.4 CRDi,700000
Maruti Ertiga VDI,650000
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,1300000
Volkswagen Jetta 2.0L TDI Highline AT,1350000
Volkswagen Vento 1.5 TDI Highline AT,1000000
Mercedes-Benz M-Class ML 350 4Matic,1700000
Toyota Yaris V CVT BSIV,1080000
Hyundai EON D Lite,170000
Maruti Swift DDiS VDI,610000
Maruti Ritz VXi,350000
Maruti Alto 800 LXI,260000
Fiat Linea 1.3 Multijet Emotion,700000
Volkswagen Polo 2015-2019 1.0 MPI Highline Plus,678000
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,800000
Toyota Etios GD,400000
Hyundai i20 Magna,300000
Hyundai i20 2015-2017 Magna 1.2,520000
Nissan Terrano XV D Premium AMT,850000
Mahindra Marazzo M8,1460000
Tata Nexon 1.5 Revotorq XZ Plus,830000
Datsun GO T Option BSIV,430000
Ford EcoSport 1.5 TDCi Platinum Edition BSIV,850000
Maruti Swift Dzire ZXI,650000
Hyundai Verna CRDi,120000
Mahindra TUV 300 T8,730000
Maruti Ignis 1.2 AMT Delta BSIV,525000
Hyundai i20 Active 1.4 SX,600000
Maruti Swift LXI,500000
Hyundai Santro Xing GLS,150000
Maruti Wagon R VXI BS IV,409999
Mahindra TUV 300 T8,625000
Renault KWID RXT,290000
Honda Mobilio V i VTEC,500000
Hyundai Verna 1.6 SX,475000
Hyundai EON Era Plus,190000
Mahindra XUV500 W6 2WD,750000
Nissan Terrano XV 110 PS,525000
Chevrolet Cruze LTZ,495000
Jaguar XE 2016-2019 2.0L Diesel Prestige,2625000
Lexus ES 300h,5150000
Jaguar XF 2.0 Diesel Portfolio,3200000
Tata Safari Storme EX,503000
Volvo XC40 D4 Inscription BSIV,3800000
Toyota Camry 2.5 Hybrid,2000000
Maruti Wagon R LXI,225000
Maruti Baleno Alpha 1.3,740000
Honda Jazz VX,550000
Toyota Innova 2.5 VX (Diesel) 7 Seater,750000
Maruti Swift AMT VVT VXI,650000
Toyota Etios VX,625000
Maruti Swift AMT ZXI,600000
Hyundai Grand i10 1.2 CRDi Sportz,450000
BMW X4 M Sport X xDrive20d,5400000
BMW X4 M Sport X xDrive20d,5500000
Honda Amaze V CVT Petrol BSIV,779000
Skoda Rapid 1.6 MPI AT Elegance,645000
Volvo V40 D3 R-Design,2475000
Honda City 1.5 V AT,321000
Toyota Etios Liva 1.2 V Dual Tone,585000
Ford Figo Diesel EXI,225000
Honda Amaze E i-DTEC,500000
Hyundai i20 1.4 CRDi Asta,350000
Maruti Ertiga SHVS LDI Option,756000
Maruti Alto 800 VXI,240000
Maruti Omni 8 Seater BSII,80000
Hyundai i20 Active S Petrol,800000
Tata Hexa XE,1250000
Mahindra Scorpio VLS 2.2 mHawk,320000
Hyundai Grand i10 Sportz,509999
Tata Zest Quadrajet 1.3 75PS XE,650000
Maruti Alto K10 2010-2014 VXI,210000
Maruti Alto LXi,110000
Tata Nexon 1.5 Revotorq XE,665000
Volkswagen Ameo 1.5 TDI Comfortline,555000
Volkswagen Ameo 1.5 TDI Comfortline,560000
Mahindra KUV 100 mFALCON D75 K6 Plus,375000
Maruti Swift VDI BSIV W ABS,290000
Toyota Fortuner 2.8 4WD AT BSIV,2950000
Maruti Swift Dzire VDI,605000
Honda WR-V i-VTEC VX,720000
Maruti Ertiga SHVS ZDI Plus,800000
Mahindra XUV500 W10 2WD,1325000
Mitsubishi Pajero 2.8 SFX BSIII Single Tone,625000
Hyundai i20 1.4 CRDi Sportz,350000
Toyota Innova 2.5 G (Diesel) 8 Seater,600000
Hyundai i20 Sportz 1.2,300000
Tata New Safari DICOR 2.2 VX 4x2 BS IV,240000
Ford Figo 1.5D Trend MT,377000
Maruti Ertiga VXI,450000
Hyundai Verna Xi (Petrol),160000
Hyundai Xcent 1.2 VTVT E,525000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,550000
Chevrolet Cruze LTZ,270000
Toyota Etios GD,570000
Ford Figo Diesel Titanium,225000
Hyundai Xcent 1.2 VTVT S,590000
Jeep Compass 2.0 Longitude Option BSIV,1675000
Ford Aspire Titanium BSIV,800000
Chevrolet Sail 1.2 LS ABS,450000
Tata Indigo LX,300000
Hyundai i20 1.2 Spotz,645000
Maruti Swift Dzire VDI,520000
Hyundai EON Magna Plus,200000
Honda City i VTEC V,700000
Maruti 800 AC,45000
Ford Figo Aspire 1.5 TDCi Ambiente,459999
Maruti Ritz VDi,325000
Maruti Wagon R VXI BS IV,350000
Hyundai Verna 1.6 CRDI,440000
Hyundai i20 1.4 CRDi Magna,320000
Chevrolet Spark 1.0 LS,169000
Volkswagen Polo Petrol Comfortline 1.2L,350000
Ford Classic 1.4 Duratorq Titanium,350000
Ford Figo Diesel Celebration Edition,310000
Maruti Swift 1.3 VXi,150000
Mahindra Scorpio M2DI,420000
Maruti Ciaz AT ZXi,685000
Renault Duster 4x4,560000
Maruti Swift VDI,470000
Hyundai Verna Transform VTVT,380000
Mahindra Scorpio 1.99 S6 Plus,670000
Maruti Swift Dzire LXI 1.2 BS IV,550000
Hyundai Verna 1.6 VTVT SX,749000
Hyundai Creta 1.6 CRDi SX Option,899000
Chevrolet Optra Magnum 2.0 LS BSIII,290000
Toyota Innova 2.5 VX (Diesel) 7 Seater,869999
Datsun GO Plus A,350000
Maruti Swift Dzire VXI,500000
Skoda Rapid 1.5 TDI AT Ambition Plus,400000
Renault KWID RXT,260000
Maruti Alto 800 LXI,220000
Chevrolet Enjoy TCDi LS 8 Seater,190000
Hyundai Grand i10 Magna,400000
Chevrolet Beat Diesel LT Option,170000
Hyundai Elite i20 Magna Plus BSIV,650000
Maruti 800 AC BSIII,60000
Tata New Safari 4X2,300000
Chevrolet Spark 1.0 LT,125000
Tata Indica Vista Aqua 1.3 Quadrajet (ABS),130000
Mahindra XUV500 W6 2WD,500000
Maruti Alto LX,170000
Maruti Swift Dzire LDi,310000
Chevrolet Spark 1.0 LT,130000
Maruti Wagon R VXI Optional,465000
Mahindra Jeep MM 540,160000
Mercedes-Benz E-Class E270 CDI,800000
Maruti Alto K10 Knightracer,260000
Mahindra Bolero 2011-2019 DI NON AC BS III SILVER,500000
Renault KWID 1.0 RXT 02 Anniversary Edition,325000
Mahindra Bolero 2011-2019 DI NON AC BS III White,400000
Toyota Fortuner 2.8 4WD MT BSIV,3200000
Tata Indica V2 DLE BSIII,200000
Mahindra Quanto C2,450000
Tata Indigo V BSIII,229999
Hyundai EON Magna Plus,340000
Mahindra Bolero 2011-2019 SLE BSIII,550000
Ford Endeavour 3.0L 4X4 AT,975000
Volvo XC40 D4 Inscription BSIV,3800000
Volkswagen Jetta 1.6 Trendline,225000
Ford Endeavour 3.2 Titanium AT 4X4,3250000
Tata Indigo eCS VX BSIV,280000
Honda Amaze V Petrol BSIV,700000
Tata Indigo CS eLX BS IV,259000
Toyota Fortuner 2.8 4WD AT BSIV,3200000
Mahindra XUV500 W10 1.99 mHawk,1400000
Ford Figo 1.5P Titanium AT,416000
Tata Manza ELAN Quadrajet BS III,250000
Tata Manza Aura (ABS) Quadrajet BS IV,210000
Mahindra Scorpio VLX 2WD BSIII,290000
Tata Indigo CS eLS BS IV,220000
Tata Indigo eCS LX BSIV,246000
Maruti Omni E MPI STD BS IV,260000
Hyundai Creta 1.4 CRDi S,1050000
Tata Manza Club Class Quadrajet90 LX,290000
Tata Indigo eCS VX BSIV,310000
Hyundai i20 1.2 Asta,700000
Maruti Swift VXI Optional,550000
Tata Indigo CS LX (TDI) BS-III,450000
Honda City i VTEC VX,773000
Tata Tiago 1.2 Revotron XZ,450000
Maruti Eeco 5 Seater AC BSIV,409999
Maruti 800 Std MPFi,45000
Nissan Teana XL,600000
Chevrolet Beat LT,250000
Tata Indica V2 DLS TC,70000
Honda Amaze S i-VTEC,690000
Audi Q5 35TDI Premium Plus,3975000
Lexus ES 300h,5150000
Jaguar XF 2.0 Diesel Portfolio,3200000
Jeep Wrangler 2016-2019 3.6 4X4,4100000
Toyota Yaris V BSIV,1000000
Toyota Yaris V BSIV,1000000
Toyota Camry 2.5 Hybrid,2000000
Maruti Ciaz 1.3 Alpha,925000
Honda Jazz VX,550000
Maruti Wagon R VXI BS IV,430000
Toyota Innova 2.5 VX (Diesel) 7 Seater,750000
Honda City i VTEC V,675000
Maruti Baleno Delta,570000
Maruti Vitara Brezza ZDi Plus,850000
BMW X4 M Sport X xDrive20d,5400000
BMW X4 M Sport X xDrive20d,5500000
Honda Amaze V CVT Petrol BSIV,779000
Ford Ecosport 1.5 Petrol Ambiente,640000
Tata Indigo CS LS (TDI) BS-III,250000
Renault Duster 110PS Diesel RxZ,1250000
Ford EcoSport 1.5 Petrol Titanium BSIV,889000
Hyundai i20 2015-2017 Asta Option 1.4 CRDi,750000
Maruti Swift Ldi BSIV,320000
Skoda Yeti Ambition 4WD,600000
Maruti Ciaz S 1.3,1000000
Maruti Zen LX,110000
Honda City 2017-2020 GXi,250000
Maruti Swift Dzire VDI,600000
Maruti Zen Estilo LXI BS IV,165000
Maruti Alto LXI,118000
Maruti Baleno Delta 1.3,700000
Renault Duster 85PS Diesel RxL Optional,585000
Maruti Alto LXi,120000
Maruti 800 Std MPFi,65000
Maruti Alto LX,150000
Maruti Alto Std,150000
Hyundai Accent VIVA CRDi,170000
Mahindra Scorpio 2.6 CRDe,250000
Hyundai Accent CRDi,100000
Maruti Ertiga VDI,599000
Chevrolet Cruze LTZ,250000
Maruti Swift VXI Optional,570000
Volkswagen Polo Diesel Highline 1.2L,440000
Toyota Innova 2.5 E Diesel MS 7-seater,300000
Nissan Micra XV CVT,300000
Mahindra Scorpio VLX 2WD ABS AT BSIII,500000
Maruti Swift Dzire VDI,660000
Ford Fiesta Classic 1.6 Duratec LXI,256000
Renault KWID 1.0 RXT Optional,409999
Toyota Fortuner 4x4 MT,1888000
Hyundai Santro Xing GLS LPG,250000
Honda Civic 1.8 V AT,280000
Mahindra Xylo D2,300000
Tata Safari Storme LX,900000
Maruti Zen Estilo VXI BSIV,190000
Mahindra Bolero Power Plus Plus AC BSIV PS,800000
Mahindra Scorpio EX,450000
Mahindra Xylo D2 BS III,400000
Tata New Safari Dicor VX 4X2 BS IV,150000
Tata Indigo CR4,200000
Mahindra XUV500 W8 AWD,600000
Tata Indica Vista Aqua 1.3 Quadrajet,175000
Tata Indigo CS LE (TDI) BS-III,99000
Hyundai i10 Asta,215000
Maruti Omni E 8 Str STD,190000
Renault Duster 110PS Diesel RxL,520000
Ford Endeavour 3.2 Titanium AT 4X4,2280000
Tata Indica Vista TDI LS,285000
Mahindra TUV 300 T4 Plus,660000
Maruti 800 Std,31504
Maruti Swift Dzire VXI,515000
Nissan Sunny Diesel XL,295000
Nissan Terrano XL 85 PS,700000
Mahindra Scorpio Intelli Hybrid S6 Plus,1100000
Hyundai EON 1.0 Era Plus,300000
Maruti Swift VXI,450000
Maruti Estilo LXI,135000
Maruti Swift Dzire VDI,700000
Ford Figo Diesel ZXI,250000
Maruti Wagon R LXI Minor,140000
Mahindra Xylo D4 BSIII,250000
Hyundai i10 Era,210000
Honda Amaze S i-Dtech,420000
Maruti Alto LXi,130000
Nissan Sunny XL,320000
Maruti Wagon R LX BSIII,200000
Maruti Alto 800 LXI,310000
Mahindra Verito 1.5 D4 BSIII,200000
Maruti Ritz VXi,350000
Hyundai EON Sportz,444000
Datsun RediGO T,300000
Mahindra Verito 1.5 D4 BSIII,225000
Mahindra Bolero 2011-2019 ZLX,600000
Maruti Eeco 5 Seater AC BSIV,260000
Hyundai Xcent 1.1 CRDi S Option,375000
Maruti Eeco 5 Seater AC BSIV,260000
Maruti Alto LXi BSIII,150000
Maruti Alto LXi,110000
Maruti Alto LX,225000
Toyota Etios GD,400000
Maruti Esteem Vxi - BSII,93000
Honda City i VTEC V,860000
Maruti Swift Dzire LDI,650000
Maruti Ertiga ZDI,650000
Hyundai Verna 1.4 CRDi,710000
Ford Figo 1.5D Base MT,430000
Maruti Swift Vdi BSIII,305000
Ford Figo Diesel Titanium,220000
Tata Sumo MKII Turbo 2.0 LX,150000
Mahindra TUV 300 mHAWK100 T8,660000
Chevrolet Beat Diesel LT Option,140000
Toyota Corolla Altis JS MT,1100000
Jaguar XF 2.2 Litre Luxury,2450000
Volkswagen Ameo 1.5 TDI Comfortline AT,625000
Honda City 1.5 GXI,198000
Hyundai Santro GS zipPlus,60000
Maruti Wagon R LXI,130000
Honda City Corporate Edition,540000
Hyundai Grand i10 1.2 Kappa Sportz AT,550000
Maruti Celerio ZXI Optional,475000
Audi Q3 2.0 TDI Quattro Premium Plus,2825000
Honda Civic ZX Diesel BSIV,2125000
BMW X1 sDrive20d M Sport,3350000
Toyota Innova Crysta 2.8 GX AT 8S BSIV,1800000
Hyundai Santro Asta BSIV,540000
Force Gurkha Hard Top BS3 4WD,910000
Maruti Celerio VXI,484999
Hyundai Creta 1.6 CRDi AT SX Plus,1950000
Maruti Vitara Brezza ZDi,950000
Ford Figo 1.5D Titanium MT,365000
Mahindra Thar CRDe ABS,900000
Tata Nexon 1.5 Revotorq XZ Plus,919999
MG Hector Sharp DCT Dualtone,1900000
Mercedes-Benz New C-Class C 220 CDI Elegance MT,2950000
Mahindra Marazzo M2 BSIV,1075000
Maruti Swift VXI Optional,600000
BMW 3 Series 320d,3200000
Skoda Octavia Style Plus 2.0 TDI AT,2600000
Maruti Vitara Brezza ZDi Plus,839000
Volkswagen Polo 1.2 MPI Comfortline,635000
Mahindra Scorpio VLX 2WD AIRBAG BSIV,550000
Mahindra Logan Diesel 1.5 DLE,180000
Honda City i DTEC E,650000
Honda Jazz Select Edition Active,350000
Maruti Alto K10 LXI,265000
Renault KWID 1.0 RXT Optional,330000
Maruti Eeco 7 Seater Standard BSIV,395000
Mahindra TUV 300 T8,700000
Ford Figo Diesel Titanium,300000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,650000
Maruti Ertiga VDI,625000
Volkswagen Polo GT TDI,425000
Maruti 800 AC BSII,55000
Tata Indigo CS LX (TDI) BS-III,250000
Mahindra Bolero 2011-2019 Plus AC,459999
Toyota Corolla Altis 1.4 DGL,1594000
Chevrolet Sail 1.2 LS ABS,300000
Ford EcoSport 1.5 TDCi Titanium BSIV,950000
Mahindra Scorpio LX,484999
Mahindra Xylo E8,161000
Hyundai i20 Active 1.2 S,500000
Nissan Sunny XV,350000
Maruti Ignis 1.2 AMT Alpha BSIV,550000
Honda WR-V i-VTEC VX,850000
Maruti Alto 800 LXI,240000
Ford Endeavour 2.5L 4X2 MT,950000
Maruti Ertiga VXI,423000
Tata Indigo GLS,90000
Tata New Safari DICOR 2.2 VX 4x2 BS IV,350000
Maruti A-Star Vxi,170000
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,450000
Hyundai i10 Magna,150000
Hyundai Santro LP zipPlus,75000
Hyundai i20 Sportz 1.4 CRDi,511000
Maruti Ertiga 1.5 VDI,850000
Tata Indica V2 eLS,250000
Maruti Celerio ZXI,420000
Maruti Alto 800 LXI,180000
Maruti Celerio ZDi,400000
Mahindra Xylo E4,150000
Ford Figo 1.5D Titanium MT,500000
Jeep Compass 2.0 Longitude Option BSIV,1689999
Nissan Micra Diesel XV Premium,204999
Maruti Ciaz VDi Plus,459999
Hyundai i20 2015-2017 Magna 1.2,600000
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,585000
Ford Endeavour 2.5L 4X2 MT,551000
Maruti Swift Dzire LDI,525000
Maruti Omni 8 Seater BSIV,160000
Mahindra XUV500 W8 AWD,825000
Hyundai Santro Xing GL CNG,127000
Chevrolet Tavera Neo 3 LS 9 Str BSIII,600000
Maruti Zen Base,65000
Maruti Swift Dzire VDI,550000
Mahindra Bolero 2011-2019 Plus - AC BSIII,650000
Maruti Swift Dzire VDI,750000
Mahindra KUV 100 mFALCON D75 K8,380000
Hyundai Verna 1.6 SX CRDi (O),400000
Maruti Wagon R LXI,50000
Mahindra TUV 300 mHAWK100 T8 Dual Tone,750000
Chevrolet Spark 1.0 LS,150000
Maruti Alto 800 LXI,245000
Tata Manza Club Class Quadrajet90 VX,260000
Volkswagen Vento 1.5 TDI Highline AT,411000
Hyundai i20 Sportz 1.4 CRDi,450000
BMW 3 Series 320d Luxury Line,1300000
Maruti Celerio VXI,351000
Mahindra XUV500 W8 4WD,550000
BMW 3 Series 320d Luxury Plus,1300000
Tata Manza Club Class Quadrajet90 VX,260000
Volkswagen Vento 1.5 TDI Highline AT,411000
Hyundai i20 Sportz 1.4 CRDi,450000
BMW 3 Series 320d Luxury Line,1300000
Maruti Celerio VXI,351000
Mahindra XUV500 W8 4WD,550000
BMW 3 Series 320d Luxury Plus,1300000
Nissan Terrano XE 85 PS,750000
Nissan Terrano XL 85 PS,800000
Tata New Safari DICOR 2.2 EX 4x2,350000
Maruti Alto 800 LX,200000
Tata Indigo LS,150000
Nissan Terrano XL 110 PS,800000
Hyundai EON Era Plus Sports Edition,350000
Tata New Safari DICOR 2.2 VX 4x2,350000
Mahindra Scorpio 2.6 Turbo 9 Str,250000
Tata Indica Vista Terra 1.4 TDI,170000
Renault KWID RXT Optional,395000
Mahindra Bolero 2011-2019 SLE,450000
Maruti Ignis 1.2 Delta BSIV,500000
Tata Sumo EX 10/7 Str BSIII,200000
Tata Hexa XM,1200000
Mahindra KUV 100 mFALCON D75 K8,400000
Mahindra TUV 300 T8,650000
Mahindra Bolero 2011-2019 DI - AC BS III,550000
Mahindra XUV500 W10 2WD,1100000
Maruti Alto 800 LXI,254999
Maruti Alto LXi,180000
Mahindra Xylo D2,160000
Chevrolet Optra Magnum 2.0 LT BS3,225000
Maruti Alto 800 LXI,270000
Tata Manza Aura Quadrajet BS IV,310000
Datsun GO T BSIV,225000
Fiat Grande Punto EVO 1.3 Dynamic,300000
Maruti Swift Dzire VXi,250000
Hyundai EON Sportz,180000
Maruti Swift Dzire VXI,550000
Mahindra Bolero XL 10 Seater Non AC,300000
Hyundai Elantra CRDi SX,900000
Tata Sumo EX BS IV,254999
Mahindra XUV500 W9 2WD,1530000
Maruti Baleno Delta 1.3,590000
Maruti Wagon R LXI DUO BSIII,170000
Audi A3 35 TDI Premium Plus,2600000
Maruti Ritz VDi,475000
Hyundai Grand i10 1.2 CRDi Asta,700000
Maruti Wagon R VXI BS IV,376000
Hyundai Santro GS zipDrive - Euro I,100000
Maruti 800 Std BSII,75000
Mahindra Scorpio VLS AT 2.2 mHAWK,440000
Maruti Wagon R VXI Optional,390000
Toyota Innova 2.5 VX 7 STR,725000
Mahindra Bolero 2011-2019 SLE,325000
Maruti Alto LXi,170000
Maruti Swift Dzire LDi,215000
Honda City 1.5 V Inspire,350000
Chevrolet Spark 1.0 LS,80000
Hyundai EON Magna Plus,195000
Maruti Swift VDI BSIV W ABS,280000
Nissan Sunny Diesel XL,335000
Mahindra XUV500 W6 2WD,475000
Renault Duster 85PS Diesel RxL,484999
Maruti Ciaz Delta BSIV,650000
Audi Q5 3.0 TDI Quattro,1850000
Hyundai i20 1.2 Asta,700000
Audi Q7 3.0 TDI Quattro,3000000
Mahindra Scorpio S3 9 Seater BSIV,900000
Volkswagen Polo Diesel Highline 1.2L,350000
Honda Accord V6 AT,285000
Audi Q7 3.0 TDI Quattro Premium Plus,1850000
Maruti Vitara Brezza VDi,750000
Land Rover Freelander 2 TD4 HSE,1650000
Honda Amaze V Petrol BSIV,600000
Volkswagen Polo 2015-2019 1.0 MPI Comfortline,565000
Daewoo Matiz SS,86000
Datsun GO T BSIV,329000
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,650000
Hyundai Creta 1.6 CRDi SX Option,822000
Renault Duster 110PS Diesel RxL,345000
Maruti Zen LXI,30000
Maruti Swift VDI,330000
Maruti Wagon R Stingray VXI,300000
Maruti SX4 ZXI AT,200000
Tata Indica Vista Aqua 1.3 Quadrajet (ABS),200000
Chevrolet Spark 1.0,90000
Maruti Wagon R VXI Minor,200000
Hyundai Xcent 1.1 CRDi SX,550000
Chevrolet Beat LT,250000
Honda City i-DTEC VX,975000
Toyota Innova 2.5 G (Diesel) 8 Seater,900000
Hyundai i20 1.2 Spotz,610000
Maruti Baleno Zeta 1.3,620000
Hyundai Grand i10 Sportz,400000
Maruti Celerio X ZXI BSIV,500000
Datsun GO Plus T,200000
Tata Zest Quadrajet 1.3 XM,360000
Maruti Alto K10 2010-2014 VXI,252000
Maruti Swift VDI,280000
Maruti Swift VXI 2018,509999
Mahindra Scorpio 1.99 S6 Plus,1050000
Maruti Wagon R LXI DUO BSIII,200000
Maruti Zen LXI,60000
Mahindra Xylo E8 ABS Airbag,320000
Mahindra Scorpio LX,520000
Tata New Safari DICOR 2.2 LX 4x2,250000
Maruti Vitara Brezza ZDi,725000
Mahindra Bolero 2011-2019 SLX,585000
Tata Tiago 1.2 Revotron XZ,430000
Maruti Swift VDI,235000
Maruti Swift Dzire VDi,350000
Hyundai i10 Era 1.1,131000
Honda Amaze VX i-DTEC,450000
Maruti Vitara Brezza ZDi Plus,750000
Maruti Alto 800 LXI,200000
Maruti Wagon R LXI Minor,125000
Mahindra Bolero 2011-2019 SLE,500000
Maruti Swift VDI,380000
Maruti Alto LXi,128000
Honda City 1.5 S MT,250000
Mahindra Bolero Power Plus SLX,690000
Mahindra Bolero 2011-2019 SLX,650000
Honda City E,560000
Tata Indica Vista Aqua 1.3 Quadrajet (ABS),120000
Maruti Celerio VXI,400000
Maruti Alto K10 LXI,200000
Hyundai Verna VTVT 1.6 SX,950000
Maruti Alto 800 VXI,300000
Renault KWID RXL,315000
Maruti Alto 800 LXI,220000
Chevrolet Aveo 1.4 LS,130000
Hyundai i20 Sportz Option 1.4 CRDi,595000
